brand_name,total_products,impressions,clicks,cart_adds,orders,units_sold,revenue,brand_ctr_pct,brand_click_to_cart_rate_pct,brand_click_to_purchase_rate_pct,revenue_per_impression,avg_price,avg_product_rating,total_catalog_reviews,total_loves,avg_return_rate_pct,avg_stockout_rate_pct,avg_positive_review_pct,avg_negative_review_pct,avg_ranking_score,hero_products,hidden_gems,high_visibility_low_conversion_products,return_review_risk_products,stockout_revenue_risk_products,brand_action_segment
Dermalogica,51,19727.0,5159.0,991.0,437.0,681.0,33212.13,26.15,19.21,8.47,1.68,60.29,4.52,24981.0,775916.0,4.48,1.19,84.56,4.57,3.71,23.0,0.0,2.0,5.0,0.0,Customer Experience Risk Brand
CLINIQUE,179,28080.0,6982.0,1318.0,558.0,885.0,29276.83,24.86,18.88,7.99,1.04,35.56,4.14,98449.0,3621186.0,3.17,8.92,36.43,8.55,3.09,39.0,6.0,8.0,22.0,0.0,Hidden Opportunity Brand
Kate Somerville,46,14141.0,3706.0,621.0,268.0,438.0,29174.75,26.21,16.76,7.23,2.06,75.74,4.3,16416.0,705869.0,3.45,1.08,76.19,11.67,3.74,19.0,0.0,1.0,7.0,0.0,Customer Experience Risk Brand
fresh,67,19068.0,4915.0,915.0,386.0,615.0,27561.5,25.78,18.62,7.85,1.45,41.82,4.24,55043.0,2450928.0,3.81,0.9,56.39,9.34,3.32,19.0,1.0,1.0,8.0,0.0,Customer Experience Risk Brand
Murad,50,16523.0,4111.0,741.0,325.0,550.0,26731.8,24.88,18.02,7.91,1.62,58.82,4.31,25256.0,883374.0,3.95,4.99,76.47,9.97,3.53,23.0,0.0,4.0,8.0,1.0,Conversion Problem Brand
Shiseido,71,15228.0,3879.0,653.0,263.0,435.0,23966.85,25.47,16.83,6.78,1.57,71.11,4.25,32370.0,1217212.0,2.77,0.95,54.81,8.88,3.41,15.0,0.0,3.0,12.0,0.0,Conversion Problem Brand
Peter Thomas Roth,63,15649.0,3757.0,635.0,269.0,403.0,20126.65,24.01,16.9,7.16,1.29,55.49,4.18,31391.0,1192996.0,2.68,7.4,69.35,13.06,3.43,22.0,0.0,5.0,10.0,0.0,Conversion Problem Brand
Supergoop!,40,18587.0,4521.0,813.0,349.0,556.0,19195.75,24.32,17.98,7.72,1.03,33.13,3.88,20582.0,1460176.0,5.74,6.08,61.3,18.5,3.37,20.0,0.0,4.0,9.0,0.0,Conversion Problem Brand
Kiehl's Since 1851,75,12185.0,3007.0,522.0,250.0,405.0,18951.25,24.68,17.36,8.31,1.56,43.55,4.26,25216.0,1666205.0,2.81,16.77,48.85,7.83,3.36,20.0,0.0,3.0,7.0,1.0,Conversion Problem Brand
Caudalie,43,9961.0,2539.0,460.0,209.0,324.0,18912.25,25.49,18.12,8.23,1.9,53.49,4.39,27086.0,1272843.0,3.84,3.64,71.75,7.44,3.61,19.0,0.0,3.0,4.0,0.0,Conversion Problem Brand
Glow Recipe,29,13296.0,3439.0,709.0,343.0,566.0,18010.4,25.86,20.62,9.97,1.35,33.55,4.35,33724.0,2771398.0,5.03,1.55,76.62,9.31,3.85,24.0,0.0,0.0,2.0,0.0,Normal Brand
Sunday Riley,30,10345.0,2672.0,483.0,208.0,312.0,17962.3,25.83,18.08,7.78,1.74,64.27,4.21,32998.0,1435389.0,3.57,1.47,64.42,12.47,3.62,16.0,0.0,2.0,2.0,0.0,Normal Brand
Youth To The People,27,10642.0,2791.0,492.0,203.0,343.0,17891.5,26.23,17.63,7.27,1.68,52.44,4.33,29086.0,1908215.0,1.66,1.31,82.45,10.31,3.74,13.0,0.0,1.0,3.0,0.0,Customer Experience Risk Brand
