campaign_id,campaign_name,traffic_source,campaign_objective,start_date,end_date,daily_budget,ad_spend,ad_impressions,ad_clicks,sessions,session_customers,orders,purchasing_customers,revenue,avg_order_value,ad_ctr_pct,cpc,cpa,cac,roas,campaign_conversion_rate_pct,revenue_per_session,campaign_action_segment
cmp_0026,Sephora Campaign 0026,affiliate,retention,2023-01-17 16:19:02,2023-03-12 16:19:02,1213.43,65746.22,5777350.0,137406.0,7961,7878,415,415,30092.56,72.51,2.38,0.48,158.42,158.42,0.46,5.21,3.78,Low ROAS Campaign
cmp_0057,Sephora Campaign 0057,affiliate,retention,2023-03-28 03:12:32,2023-05-08 03:12:32,660.3,27768.45,2324635.0,61081.0,7941,7868,404,404,30019.05,74.3,2.63,0.45,68.73,68.73,1.08,5.09,3.78,Low ROAS Campaign
cmp_0002,Sephora Campaign 0002,affiliate,acquisition,2023-08-15 02:27:16,2023-09-05 02:27:16,917.09,19509.23,1620531.0,39550.0,8031,7962,368,368,27406.48,74.47,2.44,0.49,53.01,53.01,1.4,4.58,3.41,Low ROAS Campaign
cmp_0039,Sephora Campaign 0039,paid_social,retention,2023-02-08 20:06:32,2023-03-07 20:06:32,171.91,4687.4,367528.0,6473.0,4305,4282,221,221,16983.18,76.85,1.76,0.72,21.21,21.21,3.62,5.13,3.94,Efficient Campaign
cmp_0044,Sephora Campaign 0044,paid_social,promotion,2023-03-21 12:03:56,2023-04-22 12:03:56,639.56,19181.66,1645815.0,30163.0,4191,4166,217,217,16807.38,77.45,1.83,0.64,88.39,88.39,0.88,5.18,4.01,Low ROAS Campaign
cmp_0036,Sephora Campaign 0036,paid_search,seasonal_sale,2023-10-18 06:22:40,2023-12-19 06:22:40,1328.15,81823.04,6868955.0,240925.0,4088,4071,214,214,16042.84,74.97,3.51,0.34,382.35,382.35,0.2,5.23,3.92,Low ROAS Campaign
cmp_0058,Sephora Campaign 0058,paid_social,retention,2023-04-05 11:09:41,2023-06-10 11:09:41,1964.91,127734.6,10710843.0,190507.0,4222,4205,216,216,15723.51,72.79,1.78,0.67,591.36,591.36,0.12,5.12,3.72,Low ROAS Campaign
cmp_0056,Sephora Campaign 0056,paid_social,retention,2023-01-16 17:52:55,2023-03-26 17:52:55,728.78,49452.43,4090211.0,71172.0,4166,4148,202,202,15558.13,77.02,1.74,0.69,244.81,244.81,0.31,4.85,3.73,Low ROAS Campaign
cmp_0015,Sephora Campaign 0015,paid_search,promotion,2023-09-10 08:06:24,2023-10-17 08:06:24,632.5,22225.84,1762785.0,62721.0,3888,3870,188,188,15238.09,81.05,3.56,0.35,118.22,118.22,0.69,4.84,3.92,Low ROAS Campaign
cmp_0059,Sephora Campaign 0059,paid_social,acquisition,2023-03-05 21:29:20,2023-05-14 21:29:20,2296.51,164519.73,14439858.0,269203.0,4130,4104,181,181,14503.02,80.13,1.86,0.61,908.95,908.95,0.09,4.38,3.51,Low ROAS Campaign
