loyalty_status,preferred_channel,skin_type,customers,sessions,orders,revenue,avg_order_value,session_conversion_rate_pct,revenue_per_customer,sessions_per_customer,purchasing_customers,repeat_customers,repeat_purchase_rate_pct,avg_session_duration_sec,customer_action_segment
insider,web,combination,37542,23987.0,994.0,69375.86,69.79,4.14,1.85,0.64,986.0,8.0,0.81,102.75,Normal Segment
insider,app,combination,33832,21675.0,940.0,66325.01,70.56,4.34,1.96,0.64,932.0,8.0,0.86,102.9,Normal Segment
vib,web,combination,15200,15146.0,762.0,55991.76,73.48,5.03,3.68,1.0,743.0,18.0,2.42,136.44,High Conversion Segment
vib,app,combination,13592,13374.0,684.0,49963.57,73.05,5.11,3.68,0.98,663.0,21.0,3.17,136.9,High Conversion Segment
non_member,web,combination,31078,15012.0,621.0,43609.17,70.22,4.14,1.4,0.48,614.0,7.0,1.14,83.32,Normal Segment
non_member,app,combination,28382,13786.0,550.0,42122.39,76.59,3.99,1.48,0.49,547.0,3.0,0.55,84.93,Normal Segment
insider,web,unknown,18585,11993.0,510.0,39792.12,78.02,4.25,2.14,0.65,505.0,5.0,0.99,105.12,Normal Segment
insider,app,unknown,16846,10878.0,514.0,37169.57,72.31,4.73,2.21,0.65,505.0,9.0,1.78,103.83,Normal Segment
insider,store,combination,17793,11458.0,497.0,34161.69,68.74,4.34,1.92,0.64,490.0,7.0,1.43,105.28,Normal Segment
rouge,web,combination,5373,7910.0,435.0,32885.09,75.6,5.5,6.12,1.47,417.0,17.0,4.08,171.35,High Conversion Segment
vib,web,unknown,7389,7291.0,388.0,31156.22,80.3,5.32,4.22,0.99,381.0,7.0,1.84,137.05,High Conversion Segment
rouge,app,combination,4693,6887.0,374.0,26845.15,71.78,5.43,5.72,1.47,362.0,11.0,3.04,170.12,High Conversion Segment
vib,app,unknown,6700,6587.0,353.0,26226.05,74.29,5.36,3.91,0.98,346.0,7.0,2.02,137.78,High Conversion Segment
insider,web,dry,12350,7746.0,367.0,25481.06,69.43,4.74,2.06,0.63,356.0,11.0,3.09,101.99,Normal Segment
vib,store,combination,7439,7356.0,358.0,23440.26,65.48,4.87,3.15,0.99,350.0,8.0,2.29,138.28,Normal Segment
non_member,web,unknown,15217,7442.0,330.0,21983.67,66.62,4.43,1.44,0.49,327.0,3.0,0.92,85.33,Normal Segment
non_member,store,combination,14996,7269.0,285.0,21701.88,76.15,3.92,1.45,0.48,283.0,2.0,0.71,84.96,Normal Segment
non_member,app,unknown,13655,6517.0,290.0,20664.61,71.26,4.45,1.51,0.48,286.0,4.0,1.4,82.48,Normal Segment
insider,app,dry,11047,7106.0,311.0,20659.84,66.43,4.38,1.87,0.64,308.0,3.0,0.97,104.25,Normal Segment
insider,app,normal,8475,5457.0,270.0,20547.28,76.1,4.95,2.42,0.64,267.0,3.0,1.12,103.92,Normal Segment
insider,web,normal,9353,5972.0,265.0,19086.11,72.02,4.44,2.04,0.64,261.0,4.0,1.53,102.44,Normal Segment
insider,web,oily,8444,5483.0,244.0,17656.21,72.36,4.45,2.09,0.65,240.0,4.0,1.67,104.75,Normal Segment
vib,web,dry,5081,5046.0,263.0,17598.67,66.92,5.21,3.46,0.99,258.0,5.0,1.94,136.53,High Conversion Segment
insider,app,oily,7813,4976.0,234.0,17491.12,74.75,4.7,2.24,0.64,232.0,2.0,0.86,101.78,Normal Segment
rouge,web,unknown,2673,3918.0,231.0,16793.97,72.7,5.9,6.28,1.47,220.0,11.0,5.0,164.27,High Conversion Segment
rouge,store,combination,2599,3936.0,227.0,16681.58,73.49,5.77,6.42,1.51,214.0,12.0,5.61,166.77,High Conversion Segment
insider,store,unknown,8665,5653.0,235.0,15998.68,68.08,4.16,1.85,0.65,229.0,6.0,2.62,105.61,Normal Segment
vib,app,dry,4489,4370.0,205.0,15591.35,76.06,4.69,3.47,0.97,204.0,1.0,0.49,136.99,Normal Segment
non_member,web,dry,10362,5007.0,191.0,14479.39,75.81,3.81,1.4,0.48,187.0,3.0,1.6,84.16,Normal Segment
vib,app,normal,3388,3383.0,190.0,14179.87,74.63,5.62,4.19,1.0,183.0,7.0,3.83,138.09,High Conversion Segment
non_member,app,dry,9332,4528.0,204.0,13878.0,68.03,4.51,1.49,0.49,202.0,2.0,0.99,82.86,Normal Segment
vib,web,normal,3931,4031.0,182.0,13730.56,75.44,4.52,3.49,1.03,175.0,7.0,4.0,138.61,Normal Segment
rouge,app,unknown,2355,3472.0,196.0,13531.52,69.04,5.65,5.75,1.47,188.0,8.0,4.26,169.64,High Conversion Segment
non_member,app,normal,7101,3510.0,156.0,12347.9,79.15,4.44,1.74,0.49,154.0,2.0,1.3,85.7,Normal Segment
vib,store,unknown,3580,3517.0,171.0,11982.62,70.07,4.86,3.35,0.98,166.0,5.0,3.01,129.79,Normal Segment
