placement,device_type,traffic_source,brand_name,category,recommendation_impressions,recommendation_clicks,recommendation_purchases,sessions_reached,customers_reached,recommendation_ctr_pct,recommendation_cvr_pct,recommendation_purchase_rate_pct,avg_rec_rank,avg_product_price,avg_product_rating,total_loves_signal,recommendation_action_segment
pdp_similar,mobile_app,organic,SEPHORA COLLECTION,Makeup,308,53.0,13.0,290,290,17.21,24.53,4.22,2.66,16.6,4.21,21041589.0,Normal Recommendation Segment
pdp_similar,mobile_app,paid_search,SEPHORA COLLECTION,Makeup,335,62.0,12.0,323,323,18.51,19.35,3.58,2.73,16.47,4.17,18382811.0,Normal Recommendation Segment
home_recs,mobile_web,organic,SEPHORA COLLECTION,Makeup,273,43.0,11.0,262,262,15.75,25.58,4.03,2.7,17.14,4.14,15498308.0,Normal Recommendation Segment
pdp_similar,mobile_app,direct,Anastasia Beverly Hills,Makeup,96,21.0,10.0,94,94,21.88,47.62,10.42,2.83,26.23,4.25,6982927.0,Strong Recommendation Segment
home_recs,mobile_app,paid_social,SEPHORA COLLECTION,Makeup,273,55.0,10.0,262,262,20.15,18.18,3.66,2.69,17.38,4.22,18982908.0,Strong Recommendation Segment
home_recs,mobile_web,direct,SEPHORA COLLECTION,Makeup,161,32.0,10.0,151,151,19.88,31.25,6.21,2.76,16.1,4.14,8448099.0,Normal Recommendation Segment
pdp_similar,mobile_app,paid_social,Charlotte Tilbury,Makeup,105,20.0,10.0,102,102,19.05,50.0,9.52,3.04,38.99,3.95,13077632.0,Normal Recommendation Segment
pdp_similar,mobile_app,paid_social,SEPHORA COLLECTION,Makeup,276,48.0,10.0,262,262,17.39,20.83,3.62,2.69,17.97,4.22,16628270.0,Normal Recommendation Segment
email_recs,mobile_app,organic,SEPHORA COLLECTION,Skincare,88,20.0,9.0,86,86,22.73,45.0,10.23,2.83,15.05,4.12,2303730.0,Strong Recommendation Segment
home_recs,mobile_web,organic,Bumble and bumble,Hair,152,34.0,9.0,149,149,22.37,26.47,5.92,2.62,31.76,4.18,2118133.0,Strong Recommendation Segment
pdp_similar,mobile_app,paid_search,Kérastase,Hair,197,41.0,9.0,193,193,20.81,21.95,4.57,2.73,48.86,4.3,2587417.0,Strong Recommendation Segment
home_recs,desktop,organic,tarte,Makeup,117,24.0,9.0,114,114,20.51,37.5,7.69,2.93,27.57,3.97,5301008.0,Strong Recommendation Segment
pdp_similar,mobile_web,email,SEPHORA COLLECTION,Makeup,186,33.0,9.0,177,177,17.74,27.27,4.84,2.64,17.4,4.19,10736698.0,Normal Recommendation Segment
pdp_similar,mobile_web,paid_search,Kérastase,Hair,155,27.0,9.0,151,151,17.42,33.33,5.81,2.69,47.03,4.23,2213332.0,Normal Recommendation Segment
pdp_similar,mobile_web,organic,SEPHORA COLLECTION,Makeup,310,53.0,9.0,300,300,17.1,16.98,2.9,2.67,18.01,4.1,18183955.0,Normal Recommendation Segment
pdp_similar,desktop,organic,Oribe,Hair,99,28.0,8.0,94,93,28.28,28.57,8.08,2.49,46.37,4.21,931748.0,Strong Recommendation Segment
cart_cross_sell,desktop,organic,Peter Thomas Roth,Skincare,53,14.0,8.0,52,52,26.42,57.14,15.09,3.13,56.19,4.28,1209952.0,Strong Recommendation Segment
home_recs,mobile_app,email,NEST New York,Fragrance,98,23.0,8.0,96,96,23.47,34.78,8.16,2.64,52.19,4.35,561552.0,Strong Recommendation Segment
pdp_similar,mobile_app,organic,Charlotte Tilbury,Makeup,142,33.0,8.0,140,140,23.24,24.24,5.63,2.73,37.75,4.03,13400534.0,Strong Recommendation Segment
cart_cross_sell,mobile_app,paid_search,SEPHORA COLLECTION,Makeup,174,33.0,8.0,168,168,18.97,24.24,4.6,2.82,17.88,4.08,9262985.0,Normal Recommendation Segment
pdp_similar,mobile_app,paid_social,Anastasia Beverly Hills,Makeup,124,23.0,8.0,121,121,18.55,34.78,6.45,2.98,28.58,4.33,14092947.0,Normal Recommendation Segment
pdp_similar,mobile_web,paid_search,SEPHORA COLLECTION,Makeup,325,55.0,8.0,309,309,16.92,14.55,2.46,2.74,17.26,4.19,20198656.0,Normal Recommendation Segment
pdp_similar,mobile_app,paid_search,NARS,Makeup,119,20.0,8.0,119,119,16.81,40.0,6.72,2.81,32.09,4.19,18694131.0,Normal Recommendation Segment
home_recs,mobile_app,paid_search,SEPHORA COLLECTION,Makeup,274,46.0,8.0,261,260,16.79,17.39,2.92,2.72,17.45,4.16,13573439.0,Normal Recommendation Segment
home_recs,mobile_web,paid_search,SEPHORA COLLECTION,Makeup,257,33.0,8.0,250,250,12.84,24.24,3.11,2.6,16.81,4.2,14419249.0,Normal Recommendation Segment
pdp_similar,desktop,organic,Laura Mercier,Makeup,57,15.0,7.0,56,56,26.32,46.67,12.28,2.86,36.0,4.27,5180704.0,Strong Recommendation Segment
home_recs,mobile_web,organic,Laura Mercier,Makeup,68,16.0,7.0,68,68,23.53,43.75,10.29,2.75,37.91,4.22,3491501.0,Strong Recommendation Segment
email_recs,mobile_app,organic,Charlotte Tilbury,Makeup,64,15.0,7.0,64,64,23.44,46.67,10.94,2.31,38.36,4.1,6284789.0,Strong Recommendation Segment
email_recs,mobile_app,organic,Anastasia Beverly Hills,Makeup,94,22.0,7.0,92,92,23.4,31.82,7.45,2.66,30.06,4.29,12059638.0,Strong Recommendation Segment
pdp_similar,mobile_web,paid_search,CLINIQUE,Makeup,105,22.0,7.0,104,104,20.95,31.82,6.67,2.61,29.67,4.11,3572507.0,Strong Recommendation Segment
pdp_similar,mobile_web,paid_social,Kérastase,Hair,136,27.0,7.0,133,133,19.85,25.93,5.15,3.06,48.29,4.28,1969781.0,Normal Recommendation Segment
pdp_similar,mobile_app,organic,tarte,Makeup,164,31.0,7.0,160,160,18.9,22.58,4.27,2.73,25.67,4.01,7752450.0,Normal Recommendation Segment
cart_cross_sell,mobile_web,email,SEPHORA COLLECTION,Makeup,102,19.0,7.0,96,96,18.63,36.84,6.86,2.6,19.17,4.08,6699706.0,Normal Recommendation Segment
cart_cross_sell,mobile_web,organic,SEPHORA COLLECTION,Makeup,141,26.0,7.0,138,138,18.44,26.92,4.96,2.52,16.06,4.21,8849758.0,Normal Recommendation Segment
pdp_similar,mobile_web,organic,fresh,Skincare,87,16.0,7.0,86,86,18.39,43.75,8.05,2.37,44.59,4.27,4375972.0,Normal Recommendation Segment
pdp_similar,desktop,email,SEPHORA COLLECTION,Makeup,139,25.0,7.0,132,132,17.99,28.0,5.04,2.79,16.92,4.16,8231271.0,Normal Recommendation Segment
home_recs,mobile_web,organic,NEST New York,Fragrance,159,28.0,7.0,156,156,17.61,25.0,4.4,2.6,56.14,4.22,1176486.0,Normal Recommendation Segment
