search_query,total_searches,zero_result_searches,zero_result_rate_pct,impressions,clicks,cart_adds,purchases,revenue,search_ctr_pct,click_to_cart_rate_pct,search_to_purchase_rate_pct,revenue_per_search,avg_clicked_rank
face mask,6391,221.0,3.46,33894.0,8215.0,1462.0,606.0,41927.19,24.24,17.8,9.48,6.56,3.07
toner,6387,253.0,3.96,33732.0,8291.0,1564.0,655.0,34543.73,24.58,18.86,10.26,5.41,3.14
niacinamide,6378,199.0,3.12,34065.0,8591.0,1465.0,594.0,47979.09,25.22,17.05,9.31,7.52,3.12
retinol,6371,224.0,3.52,33778.0,8707.0,1519.0,619.0,65952.05,25.78,17.45,9.72,10.35,3.04
serum,6354,205.0,3.23,33694.0,8292.0,1484.0,591.0,57790.05,24.61,17.9,9.3,9.1,3.07
peptide,6338,210.0,3.31,33842.0,8317.0,1451.0,548.0,47246.25,24.58,17.45,8.65,7.45,3.13
sensitive skin,6335,204.0,3.22,33827.0,8210.0,1440.0,613.0,43638.84,24.27,17.54,9.68,6.89,3.09
sunscreen,6331,244.0,3.85,33510.0,8388.0,1460.0,584.0,33789.69,25.03,17.41,9.22,5.34,3.11
moisturizer,6327,242.0,3.82,33401.0,8268.0,1419.0,597.0,44906.87,24.75,17.16,9.44,7.1,3.13
acne,6317,248.0,3.93,33465.0,8381.0,1539.0,620.0,36499.53,25.04,18.36,9.81,5.78,3.09
hyaluronic acid,6305,219.0,3.47,33272.0,8288.0,1396.0,596.0,47141.63,24.91,16.84,9.45,7.48,3.07
spf,6294,207.0,3.29,33652.0,8323.0,1484.0,598.0,41296.43,24.73,17.83,9.5,6.56,3.12
oily skin,6287,222.0,3.53,33501.0,8282.0,1440.0,591.0,36563.24,24.72,17.39,9.4,5.82,3.1
anti aging,6268,225.0,3.59,33044.0,8095.0,1416.0,572.0,43481.12,24.5,17.49,9.13,6.94,3.07
dry skin,6259,183.0,2.92,33614.0,8292.0,1484.0,601.0,41992.03,24.67,17.9,9.6,6.71,3.13
glow,6228,194.0,3.11,33236.0,7963.0,1407.0,596.0,38821.43,23.96,17.67,9.57,6.23,3.07
eye cream,6222,194.0,3.12,33230.0,8271.0,1361.0,533.0,49346.8,24.89,16.46,8.57,7.93,3.12
cleanser,6221,229.0,3.68,32898.0,8000.0,1503.0,623.0,35141.78,24.32,18.79,10.01,5.65,3.11
dark spots,6213,228.0,3.67,32906.0,8125.0,1446.0,606.0,43717.05,24.69,17.8,9.75,7.04,3.09
vitamin c,6211,235.0,3.78,32882.0,8213.0,1445.0,593.0,51399.82,24.98,17.59,9.55,8.28,3.09
exfoliator,6201,195.0,3.14,33066.0,8483.0,1604.0,632.0,46094.8,25.65,18.91,10.19,7.43,3.09
hydrating,6168,201.0,3.26,33094.0,8262.0,1497.0,613.0,36097.97,24.97,18.12,9.94,5.85,3.13
marc jacobs fragrances,423,10.0,2.36,2343.0,512.0,64.0,22.0,2726.95,21.85,12.5,5.2,6.45,3.08
laura mercier,419,15.0,3.58,2286.0,555.0,89.0,32.0,1835.05,24.28,16.04,7.64,4.38,3.11
kvd beauty,416,9.0,2.16,2234.0,502.0,93.0,37.0,1593.37,22.47,18.53,8.89,3.83,3.18
bumble and bumble,412,24.0,5.83,2126.0,530.0,96.0,43.0,1728.4,24.93,18.11,10.44,4.2,2.96
drybar,412,14.0,3.4,2203.0,521.0,74.0,36.0,2786.55,23.65,14.2,8.74,6.76,3.06
clinique,408,9.0,2.21,2205.0,522.0,107.0,49.0,2779.4,23.67,20.5,12.01,6.81,3.03
viktor&rolf,407,14.0,3.44,2168.0,565.0,86.0,32.0,4443.45,26.06,15.22,7.86,10.92,3.09
laneige,406,16.0,3.94,2126.0,535.0,118.0,58.0,2901.45,25.16,22.06,14.29,7.15,3.03
supergoop!,404,17.0,4.21,2174.0,528.0,93.0,30.0,1564.4,24.29,17.61,7.43,3.87,3.05
benefit cosmetics,402,4.0,1.0,2154.0,555.0,115.0,45.0,1983.15,25.77,20.72,11.19,4.93,3.02
peter thomas roth,401,9.0,2.24,2157.0,510.0,95.0,39.0,3032.0,23.64,18.63,9.73,7.56,3.14
sunday riley,401,16.0,3.99,2119.0,559.0,107.0,49.0,5043.15,26.38,19.14,12.22,12.58,3.19
dr. dennis gross skincare,401,16.0,3.99,2153.0,539.0,103.0,38.0,4091.2,25.03,19.11,9.48,10.2,3.1
charlotte tilbury,400,6.0,1.5,2244.0,541.0,103.0,45.0,3095.1,24.11,19.04,11.25,7.74,3.25
drunk elephant,400,9.0,2.25,2199.0,519.0,101.0,33.0,2259.2,23.6,19.46,8.25,5.65,3.12
tatcha,399,8.0,2.01,2142.0,554.0,107.0,40.0,3432.0,25.86,19.31,10.03,8.6,3.2
buxom,396,8.0,2.02,2119.0,546.0,105.0,36.0,2228.11,25.77,19.23,9.09,5.63,3.06
the inkey list,396,10.0,2.53,2133.0,564.0,134.0,45.0,1091.09,26.44,23.76,11.36,2.76,3.11
make up for ever,396,17.0,4.29,2026.0,537.0,95.0,37.0,2143.95,26.51,17.69,9.34,5.41,3.13
fenty beauty by rihanna,395,12.0,3.04,2119.0,512.0,93.0,41.0,2497.15,24.16,18.16,10.38,6.32,3.0
sephora collection,395,18.0,4.56,2026.0,489.0,107.0,45.0,989.1,24.14,21.88,11.39,2.5,3.01
bobbi brown,394,12.0,3.05,2057.0,484.0,86.0,32.0,2040.2,23.53,17.77,8.12,5.18,3.03
olaplex,394,9.0,2.28,2182.0,568.0,84.0,33.0,2526.8,26.03,14.79,8.38,6.41,3.13
olehenriksen,393,16.0,4.07,2039.0,515.0,94.0,44.0,2885.05,25.26,18.25,11.2,7.34,3.0
tarte,392,9.0,2.3,2104.0,435.0,76.0,31.0,1167.1,20.67,17.47,7.91,2.98,3.09
kiehl's since 1851,390,15.0,3.85,2040.0,505.0,84.0,43.0,2563.55,24.75,16.63,11.03,6.57,3.16
maison margiela,389,15.0,3.86,2063.0,551.0,80.0,25.0,4975.75,26.71,14.52,6.43,12.79,2.91
murad,389,10.0,2.57,2045.0,527.0,97.0,45.0,4551.75,25.77,18.41,11.57,11.7,3.05
summer fridays,388,11.0,2.84,2106.0,519.0,81.0,34.0,1983.29,24.64,15.61,8.76,5.11,3.21
kate somerville,388,22.0,5.67,2022.0,532.0,94.0,41.0,5471.7,26.31,17.67,10.57,14.1,3.18
hourglass,387,13.0,3.36,2016.0,485.0,88.0,42.0,3374.2,24.06,18.14,10.85,8.72,2.95
moroccanoil,386,15.0,3.89,2110.0,519.0,88.0,40.0,1894.9,24.6,16.96,10.36,4.91,3.19
nars,386,19.0,4.92,2053.0,516.0,82.0,31.0,1415.8,25.13,15.89,8.03,3.67,3.21
versace,385,14.0,3.64,2024.0,503.0,89.0,43.0,5348.1,24.85,17.69,11.17,13.89,2.96
paula's choice,385,10.0,2.6,2015.0,529.0,111.0,38.0,2290.55,26.25,20.98,9.87,5.95,3.11
first aid beauty,385,9.0,2.34,2085.0,542.0,107.0,40.0,1697.1,26.0,19.74,10.39,4.41,3.09
shiseido,383,9.0,2.35,2066.0,538.0,90.0,36.0,3832.15,26.04,16.73,9.4,10.01,3.09
lancôme,383,8.0,2.09,1998.0,468.0,78.0,37.0,2651.0,23.42,16.67,9.66,6.92,3.07
dr. jart+,382,8.0,2.09,1990.0,471.0,98.0,45.0,2166.1,23.67,20.81,11.78,5.67,2.95
glow recipe,380,12.0,3.16,1990.0,534.0,95.0,48.0,2437.5,26.83,17.79,12.63,6.41,3.05
kérastase,378,15.0,3.97,1943.0,471.0,82.0,47.0,3345.85,24.24,17.41,12.43,8.85,3.03
milk makeup,377,12.0,3.18,2045.0,531.0,107.0,40.0,1618.0,25.97,20.15,10.61,4.29,3.05
patrick ta,377,12.0,3.18,1984.0,468.0,84.0,31.0,1538.9,23.59,17.95,8.22,4.08,3.14
it cosmetics,376,16.0,4.26,1954.0,527.0,85.0,31.0,1529.1,26.97,16.13,8.24,4.07,3.16
smashbox,375,11.0,2.93,1964.0,494.0,99.0,53.0,2535.3,25.15,20.04,14.13,6.76,2.99
too faced,375,10.0,2.67,1984.0,511.0,113.0,55.0,2679.45,25.76,22.11,14.67,7.15,3.02
living proof,374,17.0,4.55,1890.0,474.0,88.0,39.0,1810.3,25.08,18.57,10.43,4.84,3.06
ouai,374,19.0,5.08,1965.0,505.0,77.0,36.0,1700.3,25.7,15.25,9.63,4.55,3.06
urban decay,373,13.0,3.49,1989.0,467.0,101.0,45.0,2354.45,23.48,21.63,12.06,6.31,3.14
farmacy,372,10.0,2.69,1978.0,537.0,118.0,50.0,2875.25,27.15,21.97,13.44,7.73,3.07
caudalie,372,9.0,2.42,1992.0,541.0,107.0,46.0,3765.75,27.16,19.78,12.37,10.12,3.01
stila,371,15.0,4.04,1986.0,458.0,69.0,31.0,2516.64,23.06,15.07,8.36,6.78,3.23
givenchy,368,12.0,3.26,1953.0,467.0,84.0,28.0,2623.2,23.91,17.99,7.61,7.13,3.13
biossance,368,14.0,3.8,1951.0,478.0,86.0,32.0,2592.3,24.5,17.99,8.7,7.04,3.21
fresh,368,22.0,5.98,1895.0,462.0,92.0,34.0,2021.95,24.38,19.91,9.24,5.49,3.12
kosas,366,23.0,6.28,1931.0,518.0,103.0,48.0,2206.6,26.83,19.88,13.11,6.03,3.17
dermalogica,365,13.0,3.56,1954.0,523.0,91.0,39.0,3552.25,26.77,17.4,10.68,9.73,3.14
bareminerals,365,15.0,4.11,1920.0,468.0,84.0,37.0,1588.6,24.38,17.95,10.14,4.35,3.19
the ordinary,363,16.0,4.41,1953.0,500.0,109.0,54.0,1006.54,25.6,21.8,14.88,2.77,3.15
huda beauty,362,18.0,4.97,1940.0,506.0,103.0,40.0,2356.1,26.08,20.36,11.05,6.51,3.36
dior,362,14.0,3.87,1925.0,475.0,71.0,33.0,3893.63,24.68,14.95,9.12,10.76,3.23
youth to the people,361,12.0,3.32,1903.0,487.0,75.0,20.0,1160.4,25.59,15.4,5.54,3.21,3.21
briogeo,360,13.0,3.61,1865.0,495.0,101.0,45.0,1959.75,26.54,20.4,12.5,5.44,3.1
oribe,360,10.0,2.78,1987.0,494.0,83.0,39.0,2704.2,24.86,16.8,10.83,7.51,3.12
beautyblender,360,9.0,2.5,1900.0,500.0,84.0,31.0,874.6,26.32,16.8,8.61,2.43,2.96
estée lauder,359,10.0,2.79,1886.0,466.0,78.0,36.0,3088.9,24.71,16.74,10.03,8.6,2.98
pureology,359,18.0,5.01,1869.0,483.0,83.0,31.0,1767.3,25.84,17.18,8.64,4.92,3.07
